Timestamp	Filename	Error	Message
2020-07-19 16:30:00.006 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:30:00.006 +0200	New Script	0	script steps imported : 1
2020-07-19 16:30:00.006 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:47.298 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:47.299 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:47.299 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:47.494 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:47.496 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:47.496 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:47.659 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:47.661 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:47.661 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:47.822 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:47.824 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:47.824 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:47.976 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:47.978 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:47.978 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:48.127 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:48.129 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:48.129 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:48.289 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:48.290 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:48.290 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:48.457 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:48.458 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:48.459 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:48.619 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:48.621 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:48.621 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:48.771 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:48.773 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:48.773 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:48.920 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:48.923 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:48.923 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:49.079 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:49.080 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:49.080 +0200	example.fmp12	0	Import completed
2020-07-19 16:42:49.247 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 16:42:49.248 +0200	New Script	0	script steps imported : 1
2020-07-19 16:42:49.248 +0200	example.fmp12	0	Import completed
2020-07-19 17:17:04.315 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 17:17:04.317 +0200	[OnLayoutLoad] local	0	script steps imported : 10
2020-07-19 17:17:04.317 +0200	example.fmp12	0	Import completed
2020-07-19 17:19:37.971 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 17:19:37.973 +0200	[button] save event	0	script steps imported : 10
2020-07-19 17:19:37.973 +0200	example.fmp12	0	Import completed
2020-07-19 17:29:12.508 +0200	example.fmp12	0	Import of script steps from clipboard started
2020-07-19 17:29:12.509 +0200	[web] InitCalendar	0	script steps imported : 10
2020-07-19 17:29:12.510 +0200	example.fmp12	0	Import completed
